title,category,cuisine,ingredients,prep_time_min,cook_time_min,total_time_min,serves,difficulty,vegetarian,summary,instructions,difficulty_rating
Simple Pork Chops Noodles Bowl,entree,Mexican,"['pork chops', 'noodles', 'bell pepper', 'teriyaki sauce']",15,19,34,4,medium,False,A straightforward mexican dish featuring pork chops and bell pepper.,1. Chop the bell pepper and prep the pork chops. 2. Cook the noodles according to package directions. 3. Sauté the pork chops and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Tofu Potatoes Bowl,entree,American,"['tofu', 'potatoes', 'tomatoes', 'garlic']",10,15,25,2,easy,True,A straightforward american dish featuring tofu and tomatoes.,1. Chop the tomatoes and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Beef Strips Plate,entree,Asian,"['beef strips', 'sweet potatoes', 'mushrooms']",12,11,23,2,easy,False,A straightforward asian dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the sweet potatoes according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Beef Strips Pasta Bowl,entree,Italian,"['beef strips', 'pasta', 'broccoli', 'lemon juice', 'olive oil']",10,20,30,4,medium,False,A straightforward italian dish featuring beef strips and broccoli.,1. Chop the broccoli and prep the beef strips. 2. Cook the pasta according to package directions. 3. Sauté the beef strips and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Black Beans Bread Bowl,entree,American,"['black beans', 'bread', 'cabbage']",14,11,25,4,easy,True,A straightforward american dish featuring black beans and cabbage.,1. Chop the cabbage and prep the black beans. 2. Cook the bread according to package directions. 3. Sauté the black beans and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Tomatoes and Beef Strips Plate,entree,American,"['beef strips', 'bread', 'tomatoes', 'hot sauce']",12,16,28,4,easy,False,A straightforward american dish featuring beef strips and tomatoes.,1. Chop the tomatoes and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Sweet Potatoes Bowl,entree,Italian,"['tofu', 'sweet potatoes', 'cabbage', 'olive oil']",7,25,32,2,medium,True,A straightforward italian dish featuring tofu and cabbage.,1. Chop the cabbage and prep the tofu. 2. Cook the sweet potatoes according to package directions. 3. Sauté the tofu and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chicken Breast Potatoes Bowl,entree,American,"['chicken breast', 'potatoes', 'carrots', 'hot sauce', 'olive oil']",5,17,22,4,easy,False,A straightforward american dish featuring chicken breast and carrots.,1. Chop the carrots and prep the chicken breast. 2. Cook the potatoes according to package directions. 3. Sauté the chicken breast and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Tofu with Broccoli and Potatoes,entree,American,"['tofu', 'potatoes', 'broccoli']",9,10,19,4,easy,True,A straightforward american dish featuring tofu and broccoli.,1. Chop the broccoli and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Chickpeas Bread Bowl,entree,Asian,"['chickpeas', 'bread', 'peas']",10,16,26,4,easy,True,A straightforward asian dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Salmon Rice Bowl,entree,Asian,"['salmon', 'rice', 'zucchini', 'olive oil']",10,25,35,4,medium,False,A straightforward asian dish featuring salmon and zucchini.,1. Chop the zucchini and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Mushrooms and Pasta,entree,American,"['lentils', 'pasta', 'mushrooms', 'soy sauce', 'olive oil']",9,18,27,2,easy,True,A straightforward american dish featuring lentils and mushrooms.,1. Chop the mushrooms and prep the lentils. 2. Cook the pasta according to package directions. 3. Sauté the lentils and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Rice Bowl,entree,American,"['shrimp', 'rice', 'peas', 'ginger']",12,25,37,4,medium,False,A straightforward american dish featuring shrimp and peas.,1. Chop the peas and prep the shrimp. 2. Cook the rice according to package directions. 3. Sauté the shrimp and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Chickpeas Plate,entree,American,"['chickpeas', 'noodles', 'spinach', 'hot sauce', 'garlic']",15,18,33,4,medium,True,A straightforward american dish featuring chickpeas and spinach.,1. Chop the spinach and prep the chickpeas. 2. Cook the noodles according to package directions. 3. Sauté the chickpeas and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Chicken Breast Bread Bowl,entree,Mexican,"['chicken breast', 'bread', 'zucchini', 'teriyaki sauce']",5,10,15,4,easy,False,A straightforward mexican dish featuring chicken breast and zucchini.,1. Chop the zucchini and prep the chicken breast. 2. Cook the bread according to package directions. 3. Sauté the chicken breast and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Tofu Pasta Bowl,entree,American,"['tofu', 'pasta', 'spinach', 'teriyaki sauce', 'soy sauce']",6,14,20,2,easy,True,A straightforward american dish featuring tofu and spinach.,1. Chop the spinach and prep the tofu. 2. Cook the pasta according to package directions. 3. Sauté the tofu and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Carrots and Pork Chops Plate,entree,Italian,"['pork chops', 'sweet potatoes', 'carrots', 'garlic', 'olive oil']",12,18,30,2,medium,False,A straightforward italian dish featuring pork chops and carrots.,1. Chop the carrots and prep the pork chops. 2. Cook the sweet potatoes according to package directions. 3. Sauté the pork chops and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Black Beans Tortillas Bowl,entree,Mexican,"['black beans', 'tortillas', 'tomatoes', 'lemon juice', 'soy sauce']",13,15,28,2,easy,True,A straightforward mexican dish featuring black beans and tomatoes.,1. Chop the tomatoes and prep the black beans. 2. Cook the tortillas according to package directions. 3. Sauté the black beans and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Peas and Quinoa,entree,Italian,"['salmon', 'quinoa', 'peas']",8,12,20,2,easy,False,A straightforward italian dish featuring salmon and peas.,1. Chop the peas and prep the salmon. 2. Cook the quinoa according to package directions. 3. Sauté the salmon and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Tortillas Bowl,entree,Asian,"['tofu', 'tortillas', 'cabbage']",13,20,33,4,medium,True,A straightforward asian dish featuring tofu and cabbage.,1. Chop the cabbage and prep the tofu. 2. Cook the tortillas according to package directions. 3. Sauté the tofu and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Broccoli and Black Beans Plate,entree,Italian,"['black beans', 'bread', 'broccoli']",12,23,35,2,medium,True,A straightforward italian dish featuring black beans and broccoli.,1. Chop the broccoli and prep the black beans. 2. Cook the bread according to package directions. 3. Sauté the black beans and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Tofu Bread Bowl,entree,American,"['tofu', 'bread', 'bell pepper', 'cheese', 'ginger']",7,11,18,2,easy,True,A straightforward american dish featuring tofu and bell pepper.,1. Chop the bell pepper and prep the tofu. 2. Cook the bread according to package directions. 3. Sauté the tofu and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Black Beans Potatoes Bowl,entree,Italian,"['black beans', 'potatoes', 'mushrooms', 'soy sauce', 'garlic']",8,24,32,2,medium,True,A straightforward italian dish featuring black beans and mushrooms.,1. Chop the mushrooms and prep the black beans. 2. Cook the potatoes according to package directions. 3. Sauté the black beans and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Black Beans Potatoes Bowl,entree,Asian,"['black beans', 'potatoes', 'onion', 'lemon juice']",12,14,26,4,easy,True,A straightforward asian dish featuring black beans and onion.,1. Chop the onion and prep the black beans. 2. Cook the potatoes according to package directions. 3. Sauté the black beans and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Black Beans Pasta Bowl,entree,Mediterranean,"['black beans', 'pasta', 'broccoli', 'lemon juice', 'ginger']",13,15,28,2,easy,True,A straightforward mediterranean dish featuring black beans and broccoli.,1. Chop the broccoli and prep the black beans. 2. Cook the pasta according to package directions. 3. Sauté the black beans and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Salmon Plate,entree,American,"['salmon', 'rice', 'cabbage', 'cheese', 'ginger']",11,25,36,2,medium,False,A straightforward american dish featuring salmon and cabbage.,1. Chop the cabbage and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Mushrooms and Noodles,entree,Italian,"['shrimp', 'noodles', 'mushrooms', 'hot sauce', 'ginger']",14,19,33,4,medium,False,A straightforward italian dish featuring shrimp and mushrooms.,1. Chop the mushrooms and prep the shrimp. 2. Cook the noodles according to package directions. 3. Sauté the shrimp and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Lentils with Cabbage and Pasta,entree,Italian,"['lentils', 'pasta', 'cabbage', 'olive oil', 'garlic']",6,23,29,2,easy,True,A straightforward italian dish featuring lentils and cabbage.,1. Chop the cabbage and prep the lentils. 2. Cook the pasta according to package directions. 3. Sauté the lentils and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Bread Bowl,entree,Asian,"['chickpeas', 'bread', 'cabbage', 'teriyaki sauce']",7,20,27,2,easy,True,A straightforward asian dish featuring chickpeas and cabbage.,1. Chop the cabbage and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Shrimp Plate,entree,Asian,"['shrimp', 'sweet potatoes', 'onion', 'butter', 'lemon juice']",13,15,28,4,easy,False,A straightforward asian dish featuring shrimp and onion.,1. Chop the onion and prep the shrimp. 2. Cook the sweet potatoes according to package directions. 3. Sauté the shrimp and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chicken Breast with Zucchini and Potatoes,entree,Italian,"['chicken breast', 'potatoes', 'zucchini', 'garlic']",15,22,37,4,medium,False,A straightforward italian dish featuring chicken breast and zucchini.,1. Chop the zucchini and prep the chicken breast. 2. Cook the potatoes according to package directions. 3. Sauté the chicken breast and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Tofu with Broccoli and Bread,entree,Italian,"['tofu', 'bread', 'broccoli', 'cheese']",15,22,37,4,medium,True,A straightforward italian dish featuring tofu and broccoli.,1. Chop the broccoli and prep the tofu. 2. Cook the bread according to package directions. 3. Sauté the tofu and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Tortillas Bowl,entree,American,"['shrimp', 'tortillas', 'mushrooms']",9,25,34,2,medium,False,A straightforward american dish featuring shrimp and mushrooms.,1. Chop the mushrooms and prep the shrimp. 2. Cook the tortillas according to package directions. 3. Sauté the shrimp and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,3
Quick Carrots and Chickpeas Plate,entree,Italian,"['chickpeas', 'bread', 'carrots', 'hot sauce']",13,12,25,4,easy,True,A straightforward italian dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Mushrooms and Noodles,entree,Mediterranean,"['lentils', 'noodles', 'mushrooms', 'ginger', 'teriyaki sauce']",13,24,37,2,medium,True,A straightforward mediterranean dish featuring lentils and mushrooms.,1. Chop the mushrooms and prep the lentils. 2. Cook the noodles according to package directions. 3. Sauté the lentils and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Tomatoes and Sweet Potatoes,entree,Mediterranean,"['chickpeas', 'sweet potatoes', 'tomatoes', 'lemon juice']",8,19,27,2,easy,True,A straightforward mediterranean dish featuring chickpeas and tomatoes.,1. Chop the tomatoes and prep the chickpeas. 2. Cook the sweet potatoes according to package directions. 3. Sauté the chickpeas and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Eggs with Peas and Rice,entree,Italian,"['eggs', 'rice', 'peas']",7,14,21,2,easy,True,A straightforward italian dish featuring eggs and peas.,1. Chop the peas and prep the eggs. 2. Cook the rice according to package directions. 3. Sauté the eggs and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Beef Strips Plate,entree,American,"['beef strips', 'bread', 'mushrooms']",7,17,24,4,easy,False,A straightforward american dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Tomatoes and Rice,entree,Italian,"['chickpeas', 'rice', 'tomatoes']",11,20,31,2,medium,True,A straightforward italian dish featuring chickpeas and tomatoes.,1. Chop the tomatoes and prep the chickpeas. 2. Cook the rice according to package directions. 3. Sauté the chickpeas and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Eggs Plate,entree,Asian,"['eggs', 'quinoa', 'mushrooms', 'garlic', 'teriyaki sauce']",10,16,26,2,easy,True,A straightforward asian dish featuring eggs and mushrooms.,1. Chop the mushrooms and prep the eggs. 2. Cook the quinoa according to package directions. 3. Sauté the eggs and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Lentils with Broccoli and Bread,entree,Asian,"['lentils', 'bread', 'broccoli', 'butter', 'lemon juice']",9,24,33,4,medium,True,A straightforward asian dish featuring lentils and broccoli.,1. Chop the broccoli and prep the lentils. 2. Cook the bread according to package directions. 3. Sauté the lentils and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Pork Chops Pasta Bowl,entree,American,"['pork chops', 'pasta', 'spinach']",6,22,28,4,easy,False,A straightforward american dish featuring pork chops and spinach.,1. Chop the spinach and prep the pork chops. 2. Cook the pasta according to package directions. 3. Sauté the pork chops and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Peas and Shrimp Plate,entree,American,"['shrimp', 'potatoes', 'peas', 'hot sauce', 'garlic']",11,14,25,4,easy,False,A straightforward american dish featuring shrimp and peas.,1. Chop the peas and prep the shrimp. 2. Cook the potatoes according to package directions. 3. Sauté the shrimp and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Peas and Pasta,entree,Italian,"['chickpeas', 'pasta', 'peas', 'olive oil']",15,16,31,2,medium,True,A straightforward italian dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the pasta according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,3
Simple Salmon Rice Bowl,entree,Asian,"['salmon', 'rice', 'carrots', 'cheese', 'teriyaki sauce']",7,25,32,2,medium,False,A straightforward asian dish featuring salmon and carrots.,1. Chop the carrots and prep the salmon. 2. Cook the rice according to package directions. 3. Sauté the salmon and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Onion and Quinoa,entree,American,"['beef strips', 'quinoa', 'onion']",10,24,34,4,medium,False,A straightforward american dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the quinoa according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Sweet Potatoes Bowl,entree,Mexican,"['chickpeas', 'sweet potatoes', 'peas', 'lemon juice']",7,11,18,2,easy,True,A straightforward mexican dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the sweet potatoes according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,1
Tofu with Bell Pepper and Potatoes,entree,Mediterranean,"['tofu', 'potatoes', 'bell pepper', 'hot sauce', 'cheese']",14,12,26,4,easy,True,A straightforward mediterranean dish featuring tofu and bell pepper.,1. Chop the bell pepper and prep the tofu. 2. Cook the potatoes according to package directions. 3. Sauté the tofu and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Shrimp Quinoa Bowl,entree,Mexican,"['shrimp', 'quinoa', 'tomatoes', 'soy sauce', 'olive oil']",7,20,27,2,easy,False,A straightforward mexican dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the quinoa according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Broccoli and Noodles,entree,Mediterranean,"['chickpeas', 'noodles', 'broccoli', 'hot sauce']",14,19,33,2,medium,True,A straightforward mediterranean dish featuring chickpeas and broccoli.,1. Chop the broccoli and prep the chickpeas. 2. Cook the noodles according to package directions. 3. Sauté the chickpeas and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Pork Chops Plate,entree,American,"['pork chops', 'quinoa', 'mushrooms', 'garlic']",12,11,23,4,easy,False,A straightforward american dish featuring pork chops and mushrooms.,1. Chop the mushrooms and prep the pork chops. 2. Cook the quinoa according to package directions. 3. Sauté the pork chops and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Tomatoes and Potatoes,entree,Asian,"['shrimp', 'potatoes', 'tomatoes', 'cheese', 'butter']",7,20,27,4,easy,False,A straightforward asian dish featuring shrimp and tomatoes.,1. Chop the tomatoes and prep the shrimp. 2. Cook the potatoes according to package directions. 3. Sauté the shrimp and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Salmon with Broccoli and Tortillas,entree,American,"['salmon', 'tortillas', 'broccoli', 'ginger']",9,21,30,2,medium,False,A straightforward american dish featuring salmon and broccoli.,1. Chop the broccoli and prep the salmon. 2. Cook the tortillas according to package directions. 3. Sauté the salmon and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Tortillas Bowl,entree,Asian,"['chickpeas', 'tortillas', 'carrots', 'ginger']",6,22,28,4,easy,True,A straightforward asian dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the tortillas according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chickpeas Rice Bowl,entree,Italian,"['chickpeas', 'rice', 'peas', 'hot sauce']",10,21,31,2,medium,True,A straightforward italian dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the rice according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Shrimp with Broccoli and Quinoa,entree,Italian,"['shrimp', 'quinoa', 'broccoli', 'lemon juice']",5,23,28,4,easy,False,A straightforward italian dish featuring shrimp and broccoli.,1. Chop the broccoli and prep the shrimp. 2. Cook the quinoa according to package directions. 3. Sauté the shrimp and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Chicken Breast Plate,entree,Mediterranean,"['chicken breast', 'potatoes', 'spinach', 'teriyaki sauce', 'butter']",6,12,18,2,easy,False,A straightforward mediterranean dish featuring chicken breast and spinach.,1. Chop the spinach and prep the chicken breast. 2. Cook the potatoes according to package directions. 3. Sauté the chicken breast and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,1
Lentils with Onion and Potatoes,entree,Mexican,"['lentils', 'potatoes', 'onion']",11,17,28,4,easy,True,A straightforward mexican dish featuring lentils and onion.,1. Chop the onion and prep the lentils. 2. Cook the potatoes according to package directions. 3. Sauté the lentils and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Salmon Plate,entree,Asian,"['salmon', 'quinoa', 'spinach', 'ginger']",6,12,18,4,easy,False,A straightforward asian dish featuring salmon and spinach.,1. Chop the spinach and prep the salmon. 2. Cook the quinoa according to package directions. 3. Sauté the salmon and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,1
Pork Chops with Spinach and Bread,entree,Italian,"['pork chops', 'bread', 'spinach']",11,17,28,4,easy,False,A straightforward italian dish featuring pork chops and spinach.,1. Chop the spinach and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Chickpeas with Peas and Bread,entree,American,"['chickpeas', 'bread', 'peas', 'hot sauce', 'lemon juice']",10,10,20,2,easy,True,A straightforward american dish featuring chickpeas and peas.,1. Chop the peas and prep the chickpeas. 2. Cook the bread according to package directions. 3. Sauté the chickpeas and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Eggs with Zucchini and Bread,entree,Mediterranean,"['eggs', 'bread', 'zucchini', 'ginger', 'garlic']",7,16,23,2,easy,True,A straightforward mediterranean dish featuring eggs and zucchini.,1. Chop the zucchini and prep the eggs. 2. Cook the bread according to package directions. 3. Sauté the eggs and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Zucchini and Pork Chops Plate,entree,Asian,"['pork chops', 'tortillas', 'zucchini', 'teriyaki sauce']",11,10,21,2,easy,False,A straightforward asian dish featuring pork chops and zucchini.,1. Chop the zucchini and prep the pork chops. 2. Cook the tortillas according to package directions. 3. Sauté the pork chops and zucchini until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chicken Breast Quinoa Bowl,entree,American,"['chicken breast', 'quinoa', 'bell pepper']",14,14,28,4,easy,False,A straightforward american dish featuring chicken breast and bell pepper.,1. Chop the bell pepper and prep the chicken breast. 2. Cook the quinoa according to package directions. 3. Sauté the chicken breast and bell pepper until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Tomatoes and Pork Chops Plate,entree,Mexican,"['pork chops', 'bread', 'tomatoes', 'hot sauce']",9,20,29,4,easy,False,A straightforward mexican dish featuring pork chops and tomatoes.,1. Chop the tomatoes and prep the pork chops. 2. Cook the bread according to package directions. 3. Sauté the pork chops and tomatoes until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Chicken Breast Quinoa Bowl,entree,Italian,"['chicken breast', 'quinoa', 'onion']",5,21,26,4,easy,False,A straightforward italian dish featuring chicken breast and onion.,1. Chop the onion and prep the chicken breast. 2. Cook the quinoa according to package directions. 3. Sauté the chicken breast and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Salmon Plate,entree,American,"['salmon', 'noodles', 'mushrooms', 'lemon juice']",6,12,18,4,easy,False,A straightforward american dish featuring salmon and mushrooms.,1. Chop the mushrooms and prep the salmon. 2. Cook the noodles according to package directions. 3. Sauté the salmon and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Beef Strips Noodles Bowl,entree,Italian,"['beef strips', 'noodles', 'onion', 'ginger', 'hot sauce']",13,17,30,4,medium,False,A straightforward italian dish featuring beef strips and onion.,1. Chop the onion and prep the beef strips. 2. Cook the noodles according to package directions. 3. Sauté the beef strips and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Spinach and Shrimp Plate,entree,Mexican,"['shrimp', 'bread', 'spinach', 'cheese']",5,14,19,2,easy,False,A straightforward mexican dish featuring shrimp and spinach.,1. Chop the spinach and prep the shrimp. 2. Cook the bread according to package directions. 3. Sauté the shrimp and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,1
Simple Salmon Quinoa Bowl,entree,Mexican,"['salmon', 'quinoa', 'cabbage', 'garlic', 'olive oil']",14,14,28,2,easy,False,A straightforward mexican dish featuring salmon and cabbage.,1. Chop the cabbage and prep the salmon. 2. Cook the quinoa according to package directions. 3. Sauté the salmon and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Eggs with Cabbage and Potatoes,entree,American,"['eggs', 'potatoes', 'cabbage', 'cheese']",9,19,28,4,easy,True,A straightforward american dish featuring eggs and cabbage.,1. Chop the cabbage and prep the eggs. 2. Cook the potatoes according to package directions. 3. Sauté the eggs and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Broccoli and Tortillas,entree,Italian,"['beef strips', 'tortillas', 'broccoli', 'teriyaki sauce', 'lemon juice']",5,23,28,2,easy,False,A straightforward italian dish featuring beef strips and broccoli.,1. Chop the broccoli and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and broccoli until fully cooked. 4. Combine all ingredients together and serve hot.,2
Simple Lentils Quinoa Bowl,entree,American,"['lentils', 'quinoa', 'spinach', 'ginger', 'teriyaki sauce']",9,18,27,4,easy,True,A straightforward american dish featuring lentils and spinach.,1. Chop the spinach and prep the lentils. 2. Cook the quinoa according to package directions. 3. Sauté the lentils and spinach until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Shrimp Plate,entree,American,"['shrimp', 'quinoa', 'onion']",10,17,27,4,easy,False,A straightforward american dish featuring shrimp and onion.,1. Chop the onion and prep the shrimp. 2. Cook the quinoa according to package directions. 3. Sauté the shrimp and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Black Beans with Onion and Noodles,entree,Asian,"['black beans', 'noodles', 'onion']",5,18,23,2,easy,True,A straightforward asian dish featuring black beans and onion.,1. Chop the onion and prep the black beans. 2. Cook the noodles according to package directions. 3. Sauté the black beans and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Cabbage and Chicken Breast Plate,entree,Mediterranean,"['chicken breast', 'noodles', 'cabbage']",10,18,28,4,easy,False,A straightforward mediterranean dish featuring chicken breast and cabbage.,1. Chop the cabbage and prep the chicken breast. 2. Cook the noodles according to package directions. 3. Sauté the chicken breast and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Onion and Eggs Plate,entree,Mediterranean,"['eggs', 'tortillas', 'onion', 'soy sauce', 'ginger']",8,18,26,4,easy,True,A straightforward mediterranean dish featuring eggs and onion.,1. Chop the onion and prep the eggs. 2. Cook the tortillas according to package directions. 3. Sauté the eggs and onion until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Peas and Beef Strips Plate,entree,American,"['beef strips', 'tortillas', 'peas', 'soy sauce']",8,17,25,4,easy,False,A straightforward american dish featuring beef strips and peas.,1. Chop the peas and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and peas until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Mushrooms and Bread,entree,Mediterranean,"['beef strips', 'bread', 'mushrooms', 'ginger']",12,21,33,4,medium,False,A straightforward mediterranean dish featuring beef strips and mushrooms.,1. Chop the mushrooms and prep the beef strips. 2. Cook the bread according to package directions. 3. Sauté the beef strips and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,2
Quick Mushrooms and Shrimp Plate,entree,Mediterranean,"['shrimp', 'quinoa', 'mushrooms', 'lemon juice']",8,11,19,2,easy,False,A straightforward mediterranean dish featuring shrimp and mushrooms.,1. Chop the mushrooms and prep the shrimp. 2. Cook the quinoa according to package directions. 3. Sauté the shrimp and mushrooms until fully cooked. 4. Combine all ingredients together and serve hot.,1
Chickpeas with Carrots and Rice,entree,Mediterranean,"['chickpeas', 'rice', 'carrots']",12,15,27,4,easy,True,A straightforward mediterranean dish featuring chickpeas and carrots.,1. Chop the carrots and prep the chickpeas. 2. Cook the rice according to package directions. 3. Sauté the chickpeas and carrots until fully cooked. 4. Combine all ingredients together and serve hot.,2
Beef Strips with Cabbage and Tortillas,entree,Asian,"['beef strips', 'tortillas', 'cabbage', 'olive oil']",14,12,26,4,easy,False,A straightforward asian dish featuring beef strips and cabbage.,1. Chop the cabbage and prep the beef strips. 2. Cook the tortillas according to package directions. 3. Sauté the beef strips and cabbage until fully cooked. 4. Combine all ingredients together and serve hot.,2
